met,split,value,src,trg,model
mse,2,0.023554406127370014,CTRPv2,GDSCv1,graphdrp
mse,3,0.021611502368093522,CTRPv2,GDSCv1,graphdrp
mse,4,0.022265348409154354,CTRPv2,GDSCv1,graphdrp
mse,5,0.022534409527742234,CTRPv2,GDSCv1,graphdrp
mse,6,0.022356945234267768,CTRPv2,GDSCv1,graphdrp
mse,7,0.022050242207397926,CTRPv2,GDSCv1,graphdrp
mse,8,0.023612902352448527,CTRPv2,GDSCv1,graphdrp
mse,9,0.022680717886879143,CTRPv2,GDSCv1,graphdrp
rmse,0,0.15424519810640996,CTRPv2,GDSCv1,graphdrp
rmse,1,0.14827910573048128,CTRPv2,GDSCv1,graphdrp
rmse,2,0.1534744477995279,CTRPv2,GDSCv1,graphdrp
rmse,3,0.1470085112097035,CTRPv2,GDSCv1,graphdrp
rmse,4,0.14921577801678465,CTRPv2,GDSCv1,graphdrp
rmse,5,0.15011465460687784,CTRPv2,GDSCv1,graphdrp
rmse,6,0.1495223904111614,CTRPv2,GDSCv1,graphdrp
rmse,7,0.14849323960166647,CTRPv2,GDSCv1,graphdrp
rmse,8,0.15366490279972367,CTRPv2,GDSCv1,graphdrp
rmse,9,0.1506011881987627,CTRPv2,GDSCv1,graphdrp
pcc,0,0.4438371204827849,CTRPv2,GDSCv1,graphdrp
pcc,1,0.4965306939357482,CTRPv2,GDSCv1,graphdrp
pcc,2,0.445930811634435,CTRPv2,GDSCv1,graphdrp
pcc,3,0.4921124102686733,CTRPv2,GDSCv1,graphdrp
pcc,4,0.4783630133941746,CTRPv2,GDSCv1,graphdrp
pcc,5,0.47153946088522314,CTRPv2,GDSCv1,graphdrp
pcc,6,0.482060265032563,CTRPv2,GDSCv1,graphdrp
pcc,7,0.49074678740312916,CTRPv2,GDSCv1,graphdrp
pcc,8,0.4483421113400238,CTRPv2,GDSCv1,graphdrp
pcc,9,0.4663871751219923,CTRPv2,GDSCv1,graphdrp
scc,0,0.33177001433232156,CTRPv2,GDSCv1,graphdrp
scc,1,0.37842898612124154,CTRPv2,GDSCv1,graphdrp
scc,2,0.34005995069484135,CTRPv2,GDSCv1,graphdrp
scc,3,0.36419443850125244,CTRPv2,GDSCv1,graphdrp
scc,4,0.3679826049583404,CTRPv2,GDSCv1,graphdrp
scc,5,0.3579034216770727,CTRPv2,GDSCv1,graphdrp
scc,6,0.37757743693331225,CTRPv2,GDSCv1,graphdrp
scc,7,0.364597730797021,CTRPv2,GDSCv1,graphdrp
scc,8,0.34371429262046294,CTRPv2,GDSCv1,graphdrp
scc,9,0.3688347203492314,CTRPv2,GDSCv1,graphdrp
r2,0,0.11075028983726476,CTRPv2,GDSCv1,graphdrp
r2,1,0.1782109630271772,CTRPv2,GDSCv1,graphdrp
r2,2,0.11961509831791739,CTRPv2,GDSCv1,graphdrp
r2,3,0.19223434101242087,CTRPv2,GDSCv1,graphdrp
r2,4,0.16779576338656965,CTRPv2,GDSCv1,graphdrp
r2,5,0.1577391588959468,CTRPv2,GDSCv1,graphdrp
r2,6,0.16437218049359392,CTRPv2,GDSCv1,graphdrp
r2,7,0.17583571358783934,CTRPv2,GDSCv1,graphdrp
r2,8,0.11742870511886838,CTRPv2,GDSCv1,graphdrp
r2,9,0.15227064189418127,CTRPv2,GDSCv1,graphdrp
mse,0,0.01730286907627089,CTRPv2,GDSCv2,graphdrp
mse,1,0.015899334293726666,CTRPv2,GDSCv2,graphdrp
mse,2,0.01727318793377761,CTRPv2,GDSCv2,graphdrp
mse,3,0.016842981707197936,CTRPv2,GDSCv2,graphdrp
mse,4,0.01677561533983462,CTRPv2,GDSCv2,graphdrp
mse,5,0.017246834870817487,CTRPv2,GDSCv2,graphdrp
mse,6,0.016406817015979906,CTRPv2,GDSCv2,graphdrp
mse,7,0.015529832385646,CTRPv2,GDSCv2,graphdrp
mse,8,0.016223507878127073,CTRPv2,GDSCv2,graphdrp
mse,9,0.016034506154705,CTRPv2,GDSCv2,graphdrp
rmse,0,0.13154037051898132,CTRPv2,GDSCv2,graphdrp
rmse,1,0.12609256240447597,CTRPv2,GDSCv2,graphdrp
rmse,2,0.13142750067538228,CTRPv2,GDSCv2,graphdrp
rmse,3,0.1297805135881267,CTRPv2,GDSCv2,graphdrp
rmse,4,0.12952071394118633,CTRPv2,GDSCv2,graphdrp
rmse,5,0.13132720537199247,CTRPv2,GDSCv2,graphdrp
rmse,6,0.12808909795911558,CTRPv2,GDSCv2,graphdrp
rmse,7,0.12461874813063241,CTRPv2,GDSCv2,graphdrp
rmse,8,0.1273715348032168,CTRPv2,GDSCv2,graphdrp
rmse,9,0.1266274304987075,CTRPv2,GDSCv2,graphdrp
pcc,0,0.5872470481314025,CTRPv2,GDSCv2,graphdrp
pcc,1,0.6202099001491472,CTRPv2,GDSCv2,graphdrp
pcc,2,0.5856330539530789,CTRPv2,GDSCv2,graphdrp
pcc,3,0.5987375935463823,CTRPv2,GDSCv2,graphdrp
pcc,4,0.5960189245358312,CTRPv2,GDSCv2,graphdrp
pcc,5,0.5906491973359548,CTRPv2,GDSCv2,graphdrp
